Country/Region,Date,Confirmed Cases,Days,Log Confirmed Cases,Lag Days
Belgium,2020-02-14,1,24,0.0,1
Belgium,2020-02-15,1,25,0.0,2
Belgium,2020-02-16,1,26,0.0,3
Belgium,2020-02-17,1,27,0.0,4
Belgium,2020-02-18,1,28,0.0,5
Belgium,2020-02-19,1,29,0.0,6
Belgium,2020-02-20,1,30,0.0,7
Belgium,2020-02-21,1,31,0.0,8
Belgium,2020-02-22,1,32,0.0,9
Belgium,2020-02-23,1,33,0.0,10
Belgium,2020-02-24,1,34,0.0,11
Belgium,2020-02-25,1,35,0.0,12
Belgium,2020-02-26,1,36,0.0,13
Belgium,2020-02-27,1,37,0.0,14
Belgium,2020-02-28,1,38,0.0,15
Belgium,2020-02-29,1,39,0.0,16
Belgium,2020-03-01,2,40,0.6931471805599453,17
Belgium,2020-03-02,8,41,2.0794415416798357,18
Belgium,2020-03-03,13,42,2.5649493574615367,19
Belgium,2020-03-04,23,43,3.1354942159291497,20
Belgium,2020-03-05,50,44,3.912023005428146,21
Belgium,2020-03-06,109,45,4.6913478822291435,22
Belgium,2020-03-07,169,46,5.1298987149230735,23
Belgium,2020-03-08,200,47,5.298317366548036,24
Belgium,2020-03-09,239,48,5.476463551931511,25
Belgium,2020-03-10,267,49,5.58724865840025,26
Belgium,2020-03-11,314,50,5.749392985908253,27
Belgium,2020-03-12,314,51,5.749392985908253,28
Belgium,2020-03-13,559,52,6.326149473155099,29
Belgium,2020-03-14,689,53,6.535241271013659,30
Belgium,2020-03-15,886,54,6.786716950605081,31
Belgium,2020-03-16,1058,55,6.964135612418245,32
Belgium,2020-03-17,1243,56,7.1252830915107115,33
Belgium,2020-03-18,1486,57,7.303843225277705,34
Belgium,2020-03-19,1795,58,7.492760300922379,35
Belgium,2020-03-20,2257,59,7.721791776817535,36
Belgium,2020-03-21,2815,60,7.942717540573791,37
Belgium,2020-03-22,3401,61,8.131824785007195,38
Belgium,2020-03-23,3743,62,8.22764270790443,39
Belgium,2020-03-24,4269,63,8.359134886757962,40
Belgium,2020-03-25,4937,64,8.504513138258863,41
Belgium,2020-03-26,6235,65,8.737933858114136,42
Belgium,2020-03-27,7284,66,8.8934354408475,43
Belgium,2020-03-28,9134,67,9.119758993744945,44
Belgium,2020-03-29,10836,68,9.290629203204986,45
Belgium,2020-03-30,11899,69,9.384209641955154,46
Belgium,2020-03-31,12775,70,9.455245415071905,47
Belgium,2020-04-01,13964,71,9.544237868224927,48
Belgium,2020-04-02,15348,72,9.638740451366843,49
Belgium,2020-04-03,16770,73,9.727346854817254,50
Belgium,2020-04-04,18431,74,9.821789308551622,51
Belgium,2020-04-05,19691,75,9.88791695754517,52
Belgium,2020-04-06,20814,76,9.943381116197804,53
Belgium,2020-04-07,22194,77,10.00757726106051,54
