Province/State,Country/Region,Confirmed,ISO,Continent
,Afghanistan,4687.0,AFG,Asia
,Albania,872.0,ALB,Europe
,Algeria,5891.0,DZA,Africa
,Andorra,755.0,AND,Europe
,Angola,45.0,AGO,Africa
,Antigua and Barbuda,25.0,ATG,North America
,Argentina,6278.0,ARG,South America
,Armenia,3392.0,ARM,Asia
,Austria,15882.0,AUT,Europe
,Azerbaijan,2589.0,AZE,Asia
,Bahamas,93.0,BHS,North America
,Bahrain,5236.0,BHR,Asia
,Bangladesh,15691.0,BGD,Asia
,Barbados,84.0,BRB,North America
,Belarus,23906.0,BLR,Europe
,Belgium,53449.0,BEL,Europe
,Belize,18.0,BLZ,North America
,Benin,319.0,BEN,Africa
,Bhutan,11.0,BTN,Asia
,Bolivia,2831.0,BOL,South America
,Bosnia and Herzegovina,2141.0,BIH,Europe
,Botswana,24.0,BWA,Africa
,Brazil,169594.0,BRA,South America
,Brunei,141.0,BRN,Asia
,Bulgaria,1990.0,BGR,Europe
,Burkina Faso,760.0,BFA,Africa
,Myanmar,180.0,MMR,Asia
,Burundi,15.0,BDI,Africa
,Cabo Verde,260.0,CPV,Africa
,Cambodia,122.0,KHM,Asia
,Cameroon,2689.0,CMR,Africa
,Central African Republic,143.0,CAF,Africa
,Chad,322.0,TCD,Africa
,Chile,30063.0,CHL,South America
,Colombia,11613.0,COL,South America
,Comoros,11.0,COM,Africa
,Congo,1024.0,COD,Africa
,Costa Rica,801.0,CRI,North America
,Croatia,2196.0,HRV,Europe
,Cuba,1783.0,CUB,North America
,Cyprus,901.0,CYP,Asia
,Czech Republic,8176.0,CZE,Europe
,Denmark,10513.0,DNK,Europe
,Djibouti,1227.0,DJI,Africa
,Dominica,16.0,DMA,North America
,Dominican Republic,10634.0,DOM,North America
,Ecuador,29509.0,ECU,South America
,Egypt,9746.0,EGY,Africa
,El Salvador,958.0,SLV,North America
,Equatorial Guinea,439.0,GNQ,Africa
,Eritrea,39.0,ERI,Africa
,Estonia,1741.0,EST,Europe
,Eswatini,175.0,SWZ,Africa
,Ethiopia,250.0,ETH,Africa
,Fiji,18.0,FJI,Australia
,Finland,5984.0,FIN,Europe
,France,175479.0,FRA,Europe
,Gabon,802.0,GAB,Africa
,Gambia,22.0,GMB,Africa
,Georgia,638.0,GEO,Asia
,Germany,172576.0,DEU,Europe
,Ghana,4700.0,GHA,Africa
,Greece,2726.0,GRC,Europe
,Grenada,21.0,GRD,North America
,Guatemala,1114.0,GTM,North America
,Guinea,2146.0,GIN,Africa
,Guinea-Bissau,761.0,GNB,Africa
,Guyana,109.0,GUY,South America
,Haiti,209.0,HTI,North America
,Honduras,2100.0,HND,North America
,Hungary,3284.0,HUN,Europe
,Iceland,1801.0,ISL,Europe
,India,70768.0,IND,Asia
,Indonesia,14265.0,IDN,Asia
,Iran,109286.0,IRN,Asia
,Iraq,2818.0,IRQ,Asia
,Ireland,23135.0,IRL,Europe
,Israel,16506.0,ISR,Asia
,Italy,219814.0,ITA,Europe
